"village","timepoint","village_id","locus","allele_frequency","allele_count_observed"
"px_kigali_25",1,25,"Marker_2",0.0152861510049513,0
"px_kigali_25",2,25,"Marker_1",0.856217499152608,16
"px_kigali_25",2,25,"Marker_2",0.0178208094573312,1
"px_kigali_26",1,26,"Marker_1",0.779498892131977,16
"px_kigali_26",1,26,"Marker_2",0.657830940121445,14
"px_kigali_26",2,26,"Marker_1",0.790094467962579,17
"px_kigali_26",2,26,"Marker_2",0.676357338512968,13
"px_kigali_27",1,27,"Marker_1",0.500483615736526,10
"px_kigali_27",1,27,"Marker_2",0.300341139247624,5
"px_kigali_27",2,27,"Marker_1",0.517159159353325,11
"px_kigali_27",2,27,"Marker_2",0.314189680374838,3
"px_kigali_28",1,28,"Marker_1",0.160329224173595,4
"px_kigali_28",1,28,"Marker_2",0.848267180049321,17
"px_kigali_28",2,28,"Marker_1",0.169956993302418,2
"px_kigali_28",2,28,"Marker_2",0.853480332848391,17
"px_kigali_29",1,29,"Marker_1",0.616867371626922,15
"px_kigali_29",1,29,"Marker_2",0.718258535778965,14
"px_kigali_29",2,29,"Marker_1",0.689296996768798,12
"px_kigali_29",2,29,"Marker_2",0.783290521687134,16
"px_kigali_30",1,30,"Marker_1",0.998828200023858,20
"px_kigali_30",1,30,"Marker_2",0.56599277959177,11
"px_kigali_30",2,30,"Marker_1",0.99897378077454,20
"px_kigali_30",2,30,"Marker_2",0.651361981307689,13
"px_kigali_31",1,31,"Marker_1",0.790251377228758,17
"px_kigali_31",1,31,"Marker_2",0.770246143859753,11
"px_kigali_31",2,31,"Marker_1",0.821183637593279,16
"px_kigali_31",2,31,"Marker_2",0.81631851209748,17
"px_kigali_32",1,32,"Marker_1",0.338168189519999,7
"px_kigali_32",1,32,"Marker_2",0.125960702546784,2
"px_kigali_32",2,32,"Marker_1",0.415896044104384,10
"px_kigali_32",2,32,"Marker_2",0.165395552333798,0
"px_kigali_33",1,33,"Marker_1",0.828549578702462,14
"px_kigali_33",1,33,"Marker_2",0.583693388419723,11
"px_kigali_33",2,33,"Marker_1",0.845272950361109,18
"px_kigali_33",2,33,"Marker_2",0.630299203631378,9
"px_kigali_34",1,34,"Marker_1",0.799727084636962,16
"px_kigali_34",1,34,"Marker_2",0.532764211159387,14
"px_kigali_34",2,34,"Marker_1",0.815842429025612,15
"px_kigali_34",2,34,"Marker_2",0.571237673149495,12
"px_kigali_35",1,35,"Marker_1",0.849160665126193,18
"px_kigali_35",1,35,"Marker_2",0.613873033648052,10
"px_kigali_35",2,35,"Marker_1",0.858832844767131,16
"px_kigali_35",2,35,"Marker_2",0.642358415126696,14
"px_kigali_36",1,36,"Marker_1",0.960125789040237,20
"px_kigali_36",1,36,"Marker_2",0.976110008243821,20
"px_kigali_36",2,36,"Marker_1",0.965827882528465,19
"px_kigali_36",2,36,"Marker_2",0.982346216268922,20
"px_kigali_37",1,37,"Marker_1",0.00242318333583384,0
"px_kigali_37",1,37,"Marker_2",0.755874268118682,14
"px_kigali_37",2,37,"Marker_1",0.00522864630514172,0
"px_kigali_37",2,37,"Marker_2",0.812960606806606,18
"px_kigali_38",1,38,"Marker_1",0.653490842294205,14
"px_kigali_38",1,38,"Marker_2",0.0775469338004825,1
"px_kigali_38",2,38,"Marker_1",0.713005928336958,12
"px_kigali_38",2,38,"Marker_2",0.118338027347005,1
"px_kigali_39",1,39,"Marker_1",0.886982379149597,20
"px_kigali_39",1,39,"Marker_2",0.546104744826593,9
"px_kigali_39",2,39,"Marker_1",0.901390606270397,18
"px_kigali_39",2,39,"Marker_2",0.618662772180649,13
"px_kigali_40",1,40,"Marker_1",0.912100405985986,19
"px_kigali_40",1,40,"Marker_2",0.0347388926503993,0
"px_kigali_40",2,40,"Marker_1",0.921561693423696,19
"px_kigali_40",2,40,"Marker_2",0.0472993334223912,2
"px_kigali_41",1,41,"Marker_1",0.509483979325529,10
"px_kigali_41",1,41,"Marker_2",0.880811447377179,16
"px_kigali_41",2,41,"Marker_1",0.565060300999929,12
"px_kigali_41",2,41,"Marker_2",0.898970757462501,19
"px_kigali_42",1,42,"Marker_1",0.697337072500319,16
"px_kigali_42",1,42,"Marker_2",0.00582842755575068,0
"px_kigali_42",2,42,"Marker_1",0.728639320859488,18
"px_kigali_42",2,42,"Marker_2",0.00743754746109214,0
"px_kigali_43",1,43,"Marker_1",0.562874714707202,13
"px_kigali_43",1,43,"Marker_2",0.949896982858451,18
"px_kigali_43",2,43,"Marker_1",0.650271990644188,11
"px_kigali_43",2,43,"Marker_2",0.963025754312052,20
"px_kigali_44",1,44,"Marker_1",0.359303688036188,9
"px_kigali_44",1,44,"Marker_2",0.386762405238869,6
"px_kigali_44",2,44,"Marker_1",0.47704571729679,7
"px_kigali_44",2,44,"Marker_2",0.494522132290281,12
"px_kigali_45",1,45,"Marker_1",0.746840440969671,15
"px_kigali_45",1,45,"Marker_2",0.762415855664509,15
"px_kigali_45",2,45,"Marker_1",0.789521419184051,18
"px_kigali_45",2,45,"Marker_2",0.81549855658943,16
"px_kigali_46",1,46,"Marker_1",0.13020573728598,1
"px_kigali_46",1,46,"Marker_2",0.527235542089601,10
"px_kigali_46",2,46,"Marker_1",0.202868402874769,3
"px_kigali_46",2,46,"Marker_2",0.60617278202593,9
"px_kigali_47",1,47,"Marker_1",0.843600178746342,19
"px_kigali_47",1,47,"Marker_2",0.388919862604962,8
"px_kigali_47",2,47,"Marker_1",0.863312058935697,20
"px_kigali_47",2,47,"Marker_2",0.462267019183097,8
"px_kigali_48",1,48,"Marker_1",0.615839638471635,11
"px_kigali_48",1,48,"Marker_2",0.787591463178697,16
"px_kigali_48",2,48,"Marker_1",0.666476244097104,10
"px_kigali_48",2,48,"Marker_2",0.82269714613016,17
"px_kigali_49",1,49,"Marker_1",0.760815192534144,13
"px_kigali_49",1,49,"Marker_2",0.742482683878637,15
"px_kigali_49",2,49,"Marker_1",0.789494133218224,14
"px_kigali_49",2,49,"Marker_2",0.782032148120007,17
